0.36,0.375,0.4,0.425,0.45,0.475,0.5,0.525,0.55,0.575,0.6,0.625,0.65,0.675,0.7,0.725,0.75,0.775,0.8,0.825
"980,130.00","958,270.00","989,320.00","992,820.00","993,880.00","995,230.00","999,070.00","995,020.00","994,890.00","993,450.00","990,890.00","989,990.00","989,250.00","988,790.00","989,280.00","989,450.00","989,510.00","989,590.00","989,750.00","989,340.00"
"979,880.00","958,860.00","989,230.00","992,500.00","993,740.00","995,340.00","999,220.00","995,110.00","994,730.00","993,510.00","990,720.00","990,160.00","989,350.00","989,090.00","989,300.00","989,490.00","989,490.00","989,790.00","989,580.00","989,410.00"
"980,090.00","958,330.00","989,180.00","992,540.00","993,970.00","995,060.00","999,200.00","995,310.00","994,870.00","993,350.00","990,660.00","990,220.00","989,190.00","989,200.00","989,310.00","989,510.00","989,400.00","989,500.00","989,750.00","989,370.00"
"980,370.00","958,920.00","988,900.00","992,790.00","993,770.00","995,510.00","999,030.00","995,210.00","994,890.00","993,290.00","990,780.00","989,990.00","989,330.00","988,910.00","989,330.00","989,470.00","989,150.00","989,650.00","989,670.00","989,670.00"
"979,930.00","956,170.00","989,020.00","992,810.00","993,870.00","995,290.00","999,130.00","995,140.00","994,800.00","993,250.00","990,790.00","989,820.00","989,150.00","988,970.00","989,320.00","989,470.00","989,200.00","989,880.00","989,460.00","989,550.00"
"979,970.00","957,020.00","989,130.00","992,900.00","994,000.00","995,410.00","999,150.00","995,320.00","994,740.00","993,540.00","990,700.00","990,240.00","989,110.00","988,830.00","989,120.00","989,470.00","989,290.00","989,680.00","989,540.00","989,500.00"
"979,520.00","957,320.00","989,130.00","992,800.00","993,950.00","995,340.00","999,140.00","995,220.00","994,630.00","993,330.00","990,550.00","990,110.00","989,250.00","989,000.00","989,210.00","989,500.00","989,220.00","989,830.00","989,320.00","989,440.00"
"980,150.00","957,070.00","989,330.00","992,770.00","993,940.00","995,410.00","998,970.00","994,960.00","994,780.00","993,410.00","990,540.00","990,300.00","989,290.00","989,010.00","988,960.00","989,310.00","989,220.00","989,540.00","989,580.00","989,410.00"
"980,200.00","956,560.00","989,160.00","992,640.00","993,940.00","995,300.00","999,090.00","995,140.00","994,780.00","993,520.00","990,750.00","990,320.00","989,220.00","988,930.00","988,990.00","989,420.00","989,270.00","989,870.00","989,430.00","989,350.00"
"979,450.00","957,100.00","989,250.00","992,820.00","994,050.00","995,280.00","999,040.00","995,400.00","994,720.00","993,450.00","991,000.00","989,980.00","989,040.00","989,010.00","989,270.00","989,560.00","989,470.00","989,630.00","989,300.00","989,240.00"
"978,570.00","958,730.00","989,170.00","992,920.00","993,920.00","995,300.00","999,100.00","995,300.00","994,770.00","993,620.00","990,800.00","990,270.00","989,280.00","988,910.00","989,230.00","989,420.00","989,370.00","989,660.00","989,500.00","989,280.00"
"978,120.00","958,570.00","989,270.00","992,800.00","993,940.00","995,240.00","998,980.00","995,360.00","994,860.00","993,600.00","990,700.00","990,280.00","989,250.00","989,140.00","989,180.00","989,430.00","989,570.00","989,670.00","989,490.00","989,240.00"
"977,950.00","958,650.00","989,090.00","992,560.00","994,030.00","995,130.00","999,000.00","995,120.00","994,710.00","993,200.00","990,910.00","990,450.00","989,400.00","989,010.00","989,080.00","989,380.00","989,140.00","989,890.00","989,380.00","989,090.00"
"977,960.00","958,800.00","989,420.00","992,820.00","993,920.00","995,000.00","999,000.00","995,320.00","994,760.00","993,530.00","990,800.00","989,910.00","989,330.00","989,110.00","989,210.00","989,290.00","989,270.00","989,800.00","989,450.00","989,300.00"
"978,490.00","959,040.00","989,230.00","992,840.00","993,810.00","994,770.00","999,210.00","995,230.00","995,060.00","993,620.00","990,680.00","990,330.00","989,170.00","988,810.00","989,300.00","989,540.00","989,210.00","989,720.00","989,430.00","989,480.00"
"978,170.00","959,410.00","989,360.00","992,950.00","993,730.00","995,290.00","999,210.00","995,210.00","995,160.00","993,460.00","990,880.00","990,130.00","989,160.00","988,890.00","989,170.00","989,300.00","989,360.00","989,610.00","989,350.00","989,390.00"
"978,190.00","958,300.00","989,120.00","992,730.00","993,850.00","995,050.00","999,100.00","995,280.00","994,840.00","993,750.00","990,800.00","990,000.00","989,430.00","988,780.00","989,370.00","989,470.00","989,210.00","989,450.00","989,610.00","989,250.00"
"978,280.00","959,320.00","989,300.00","992,600.00","993,810.00","995,060.00","999,140.00","995,250.00","995,130.00","993,690.00","990,700.00","989,980.00","989,130.00","988,990.00","989,280.00","989,240.00","989,060.00","989,640.00","989,510.00","989,380.00"
"978,510.00","959,780.00","989,310.00","992,730.00","993,710.00","995,330.00","999,130.00","995,120.00","995,090.00","993,610.00","990,840.00","990,110.00","989,120.00","988,730.00","989,090.00","989,500.00","989,130.00","989,680.00","989,420.00","989,680.00"
"978,120.00","959,010.00","989,080.00","993,080.00","993,470.00","995,120.00","998,940.00","995,180.00","994,900.00","993,680.00","990,950.00","990,030.00","989,270.00","988,680.00","989,360.00","989,220.00","989,410.00","989,610.00","989,400.00","989,580.00"
"977,990.00","959,150.00","989,380.00","992,870.00","993,660.00","995,130.00","999,100.00","995,290.00","994,910.00","993,550.00","991,030.00","990,210.00","989,260.00","988,920.00","989,150.00","989,290.00","989,410.00","989,760.00","989,530.00","989,470.00"
"978,210.00","959,250.00","989,190.00","992,420.00","993,770.00","995,370.00","999,060.00","995,240.00","994,680.00","993,710.00","990,810.00","990,340.00","989,470.00","989,090.00","989,190.00","989,330.00","989,250.00","989,650.00","989,610.00","989,430.00"
"978,300.00","958,780.00","989,330.00","992,570.00","993,630.00","995,420.00","999,070.00","995,420.00","994,870.00","993,560.00","990,750.00","990,220.00","989,380.00","989,340.00","989,020.00","989,310.00","989,180.00","989,780.00","989,760.00","989,500.00"
"977,720.00","959,240.00","989,380.00","992,540.00","993,710.00","995,340.00","999,270.00","995,590.00","995,020.00","993,830.00","990,790.00","990,270.00","989,100.00","989,220.00","989,220.00","989,280.00","989,390.00","989,670.00","989,840.00","989,330.00"
